                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3822,                 1.0926,                 1.2163,                0.64964,                0.45505,                0.52188,                0.32782,                 1.3033,                0.91503,                 1.1504,              0.0091833,              0.0091833,              0.0091833
                     35,                 1.3802,                 1.0912,                 1.2167,                0.65284,                0.45751,                0.52342,                0.32833,                 1.3021,                0.91278,                 1.1489,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.3798,                 1.0907,                 1.2147,                0.65288,                0.45836,                0.52513,                0.32952,                  1.301,                 0.9105,                 1.1476,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.3789,                  1.089,                 1.2142,                0.65899,                0.45791,                 0.5261,                0.33049,                 1.2999,                0.90818,                 1.1462,               0.009109,               0.009109,               0.009109
                     38,                 1.3791,                 1.0885,                 1.2133,                0.65927,                0.45928,                0.52645,                 0.3311,                 1.2991,                0.90632,                 1.1449,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.3758,                 1.0866,                 1.2129,                0.65887,                0.46142,                 0.5274,                0.33264,                 1.2981,                0.90452,                 1.1438,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.3745,                 1.0829,                 1.2119,                0.65995,                0.46125,                0.52841,                0.33319,                 1.2971,                0.90288,                 1.1427,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.3753,                 1.0839,                 1.2104,                0.66453,                0.46049,                0.52954,                0.33357,                 1.2964,                0.90116,                 1.1416,                0.00901,                0.00901,                0.00901
                     42,                 1.3756,                 1.0827,                 1.2097,                0.65997,                0.46228,                0.53071,                0.33438,                  1.296,                0.89968,                 1.1407,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.3745,                 1.0806,                 1.2085,                0.65972,                0.46637,                0.53115,                0.33498,                 1.2954,                0.89808,                 1.1397,              0.0089605,              0.0089605,              0.0089605
                     44,                 1.3736,                 1.0808,                 1.2086,                0.65569,                0.46787,                0.53247,                0.33635,                 1.2949,                0.89692,                  1.139,              0.0089358,              0.0089358,              0.0089358
                     45,                 1.3725,                 1.0793,                 1.2067,                0.65737,                0.47009,                0.53412,                0.33674,                 1.2938,                0.89569,                 1.1378,               0.008911,               0.008911,               0.008911
                     46,                 1.3701,                 1.0774,                 1.2054,                0.66161,                0.47057,                0.53556,                0.33754,                 1.2932,                0.89469,                 1.1369,              0.0088863,              0.0088863,              0.0088863
                     47,                 1.3699,                 1.0769,                 1.2055,                0.65967,                0.47145,                0.53653,                0.33794,                 1.2926,                0.89366,                 1.1364,              0.0088615,              0.0088615,              0.0088615
                     48,                   1.37,                 1.0777,                 1.2056,                0.66274,                0.46974,                0.53686,                0.33826,                 1.2916,                0.89277,                 1.1354,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.3695,                 1.0745,                 1.2033,                0.66551,                 0.4715,                 0.5379,                0.33903,                 1.2908,                0.89153,                 1.1344,               0.008812,               0.008812,               0.008812
                     50,                 1.3687,                 1.0743,                 1.2047,                 0.6708,                0.47032,                 0.5389,                0.33985,                 1.2903,                0.89059,                 1.1337,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.3679,                 1.0731,                 1.2046,                0.67187,                0.46942,                0.54043,                0.34074,                 1.2897,                0.88952,                 1.1332,              0.0087625,              0.0087625,              0.0087625
                     52,                 1.3674,                 1.0718,                 1.2026,                0.67113,                0.47189,                0.54121,                0.34089,                 1.2892,                0.88865,                 1.1326,              0.0087378,              0.0087378,              0.0087378
                     53,                 1.3675,                 1.0719,                 1.2022,                0.66684,                0.47352,                0.54183,                0.34125,                 1.2884,                0.88778,                 1.1319,               0.008713,               0.008713,               0.008713
                     54,                 1.3669,                 1.0722,                 1.2021,                0.66469,                0.47356,                0.54247,                0.34194,                 1.2881,                0.88724,                 1.1313,              0.0086882,              0.0086882,              0.0086882
                     55,                 1.3667,                 1.0713,                 1.2015,                0.66691,                0.47411,                0.54306,                0.34218,                 1.2874,                 0.8865,                 1.1307,              0.0086635,              0.0086635,              0.0086635
                     56,                 1.3659,                 1.0691,                 1.2002,                 0.6711,                0.47239,                0.54437,                 0.3428,                 1.2867,                0.88545,                 1.1299,              0.0086388,              0.0086388,              0.0086388
                     57,                 1.3671,                 1.0693,                 1.2003,                0.67139,                0.47408,                0.54475,                0.34309,                 1.2864,                0.88441,                 1.1294,               0.008614,               0.008614,               0.008614
                     58,                 1.3646,                 1.0672,                 1.1986,                0.67298,                0.47379,                0.54568,                0.34395,                 1.2864,                0.88393,                  1.129,              0.0085893,              0.0085893,              0.0085893
                     59,                 1.3648,                 1.0663,                 1.1992,                0.66924,                0.47667,                0.54577,                0.34424,                 1.2863,                0.88288,                 1.1286,              0.0085645,              0.0085645,              0.0085645
