                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5088,                  5.762,                 4.3615,                      0,                      0,                      0,                      0,                 3.4533,                 5.7345,                 4.1642,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 3.4587,                 5.7194,                 4.2937,                      0,                      0,                      0,                      0,                 3.4514,                 5.7382,                 4.1694,             7.8454e-05,             7.8454e-05,             7.8454e-05
                      3,                 3.6248,                 5.6914,                 4.2581,                      0,                      0,                      0,                      0,                 3.4428,                 5.7452,                 4.1721,              0.0001176,              0.0001176,              0.0001176
