                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.2593,                 1.1747,                 1.3214,                0.63449,                0.48504,                0.54067,                 0.3549,                      0,                    inf,                      0,               0.008779,               0.008779,               0.008779
                     39,                 1.2571,                 1.1696,                  1.318,                0.64315,                0.48225,                0.54231,                0.35609,                      0,                    inf,                      0,               0.008746,               0.008746,               0.008746
                     40,                 1.2555,                 1.1675,                 1.3145,                0.65151,                0.48319,                0.54411,                0.35741,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     41,                  1.256,                 1.1666,                 1.3145,                0.65727,                0.48215,                0.54618,                0.35787,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                     42,                 1.2522,                 1.1605,                 1.3092,                0.65556,                0.48312,                0.54744,                 0.3591,                      0,                    inf,                      0,               0.008647,               0.008647,               0.008647
                     43,                 1.2534,                 1.1589,                 1.3082,                0.65442,                0.48441,                0.54816,                0.35972,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     44,                 1.2509,                 1.1613,                   1.31,                0.65294,                0.49196,                0.55022,                 0.3613,                      0,                    inf,                      0,               0.008581,               0.008581,               0.008581
                     45,                 1.2479,                  1.153,                 1.3062,                0.66646,                0.48796,                0.55138,                0.36193,                      0,                    inf,                      0,               0.008548,               0.008548,               0.008548
                     46,                  1.245,                  1.151,                 1.3017,                0.66081,                 0.4915,                0.55313,                0.36383,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     47,                 1.2456,                 1.1525,                 1.3015,                0.66055,                 0.4942,                0.55453,                0.36471,                      0,                    inf,                      0,               0.008482,               0.008482,               0.008482
                     48,                 1.2457,                 1.1505,                 1.3018,                0.66736,                0.49426,                0.55573,                0.36448,                      0,                    inf,                      0,               0.008449,               0.008449,               0.008449
                     49,                 1.2424,                 1.1477,                 1.2983,                0.66832,                0.49362,                0.55804,                 0.3657,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     50,                 1.2434,                 1.1466,                 1.2975,                0.66108,                0.49919,                0.55808,                0.36635,                      0,                    inf,                      0,               0.008383,               0.008383,               0.008383
                     51,                 1.2415,                 1.1442,                 1.2929,                0.66396,                0.49857,                0.55917,                0.36709,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                     52,                 1.2432,                 1.1438,                 1.2948,                0.66107,                 0.4988,                0.55873,                0.36787,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     53,                 1.2383,                 1.1412,                 1.2921,                0.66987,                0.49972,                0.56129,                 0.3682,                      0,                    inf,                      0,               0.008284,               0.008284,               0.008284
                     54,                 1.2376,                 1.1397,                 1.2917,                0.66367,                0.50277,                0.56159,                 0.3688,                      0,                    inf,                      0,               0.008251,               0.008251,               0.008251
                     55,                 1.2388,                  1.139,                  1.292,                0.67123,                0.50365,                0.56287,                0.36998,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     56,                 1.2366,                 1.1347,                 1.2894,                0.66884,                0.50413,                0.56407,                0.37018,                      0,                    inf,                      0,               0.008185,               0.008185,               0.008185
                     57,                 1.2346,                 1.1347,                 1.2888,                0.67048,                 0.5055,                0.56566,                0.37174,                      0,                    inf,                      0,               0.008152,               0.008152,               0.008152
                     58,                 1.2342,                 1.1326,                 1.2879,                0.67517,                0.50063,                0.56592,                0.37229,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     59,                 1.2339,                 1.1344,                 1.2859,                0.68013,                0.49686,                0.56621,                0.37289,                      0,                    inf,                      0,               0.008086,               0.008086,               0.008086
                     60,                 1.2305,                 1.1297,                 1.2822,                0.67329,                0.50272,                0.56525,                0.37299,                      0,                    inf,                      0,               0.008053,               0.008053,               0.008053
                     61,                 1.2349,                 1.1328,                 1.2821,                 0.6719,                0.50474,                0.56724,                0.37364,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     62,                 1.2331,                 1.1307,                 1.2825,                0.66989,                0.50582,                0.56779,                0.37429,                      0,                    inf,                      0,               0.007987,               0.007987,               0.007987
                     63,                 1.2305,                 1.1267,                  1.278,                0.67318,                0.50494,                0.56942,                0.37474,                      0,                    inf,                      0,               0.007954,               0.007954,               0.007954
                     64,                 1.2307,                  1.123,                 1.2799,                0.67614,                0.50349,                0.56988,                0.37595,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     65,                 1.2276,                 1.1246,                 1.2773,                  0.671,                 0.4998,                0.56889,                0.37546,                      0,                    inf,                      0,               0.007888,               0.007888,               0.007888
                     66,                 1.2282,                 1.1219,                 1.2753,                0.66868,                 0.5032,                0.56812,                0.37602,                      0,                    inf,                      0,               0.007855,               0.007855,               0.007855
                     67,                 1.2277,                 1.1231,                 1.2763,                0.66973,                0.50396,                0.56967,                0.37701,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     68,                 1.2272,                 1.1209,                 1.2728,                0.66986,                0.50215,                  0.571,                0.37768,                      0,                    inf,                      0,               0.007789,               0.007789,               0.007789
                     69,                 1.2266,                  1.123,                 1.2732,                0.66529,                0.50908,                 0.5718,                0.37845,                      0,                    inf,                      0,               0.007756,               0.007756,               0.007756
                     70,                 1.2251,                 1.1228,                 1.2752,                0.67234,                0.50926,                0.57123,                0.37854,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     71,                 1.2247,                 1.1177,                 1.2708,                0.67304,                0.50964,                0.57306,                0.37946,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                     72,                  1.224,                 1.1179,                 1.2709,                0.67454,                0.50772,                0.57365,                0.38043,                      0,                    inf,                      0,               0.007657,               0.007657,               0.007657
                     73,                 1.2249,                  1.117,                 1.2707,                0.68241,                0.50463,                0.57377,                0.38142,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     74,                 1.2204,                 1.1135,                 1.2686,                0.67704,                0.50601,                0.57443,                0.38109,                      0,                    inf,                      0,               0.007591,               0.007591,               0.007591
                     75,                 1.2204,                 1.1102,                  1.267,                0.67307,                0.50986,                0.57558,                0.38167,                      0,                    inf,                      0,               0.007558,               0.007558,               0.007558
                     76,                 1.2199,                 1.1108,                  1.265,                0.67845,                0.51226,                0.57615,                0.38181,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     77,                 1.2198,                  1.113,                 1.2643,                0.68219,                0.50982,                0.57747,                0.38212,                      0,                    inf,                      0,               0.007492,               0.007492,               0.007492
                     78,                 1.2173,                 1.1077,                 1.2637,                 0.6806,                0.51149,                0.57905,                0.38263,                      0,                    inf,                      0,               0.007459,               0.007459,               0.007459
                     79,                 1.2172,                 1.1087,                 1.2647,                0.67589,                0.51176,                0.57962,                0.38319,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
